Time(s),Filtered_ECG(mV),R_Peak
-19.1672,1.480474,0
-19.1632,1.310128,0
-19.1592,1.056155,0
-19.1552,0.775097,0
-19.1512,0.538983,0
-19.1472,0.389546,0
-19.1382,0.316409,0
-19.1371,0.273155,0
-19.1351,0.215015,0
-19.1311,0.127451,0
-19.1267,0.026675,0
-19.1227,-0.061485,0
-19.1197,-0.121777,0
-19.1157,-0.152190,0
-19.1112,-0.152842,0
-19.1077,-0.118876,0
-19.1027,-0.049272,0
-19.0987,0.036323,0
-19.0947,0.094202,0
-19.0917,0.079894,0
-19.0869,-0.013826,0
-19.0829,-0.136041,0
-19.0789,-0.199566,0
-19.0749,-0.139497,0
-19.0709,0.030906,0
-19.0669,0.212332,0
-19.0575,0.274221,0
-19.0565,0.140279,0
-19.0545,-0.154390,0
-19.0515,-0.477869,0
-19.0465,-0.681586,0
-19.0431,-0.692478,0
-19.0391,-0.553921,0
-19.0347,-0.388366,0
-19.0307,-0.310098,0
-19.0267,-0.350631,0
-19.0227,-0.447374,0
-19.0187,-0.498623,0
-19.0147,-0.440766,0
-19.0107,-0.291303,0
-19.0072,-0.130562,0
-19.0032,-0.041607,0
-18.9996,-0.056005,0
-18.9953,-0.143529,0
-18.9903,-0.246942,0
-18.9803,-0.328910,0
-18.9793,-0.392776,0
-18.9793,-0.463919,0
-18.9750,-0.552023,0
-18.9710,-0.629427,0
-18.9670,-0.646105,0
-18.9627,-0.570511,0
-18.9587,-0.423129,0
-18.9547,-0.273714,0
-18.9507,-0.200460,0
-18.9465,-0.238474,0
-18.9432,-0.353959,0
-18.9392,-0.462930,0
-18.9352,-0.482529,0
-18.9312,-0.381144,0
-18.9272,-0.195464,0
-18.9232,-0.005542,0
-18.9171,0.113893,0
-18.9071,0.134451,0
-18.9071,0.083912,0
-18.9061,0.022880,0
-18.9031,0.006242,0
-18.8985,0.053654,0
-18.8951,0.144167,0
-18.8908,0.233607,0
-18.8866,0.280764,0
-18.8826,0.266421,0
-18.8786,0.197084,0
-18.8746,0.096068,0
-18.8706,-0.008746,0
-18.8666,-0.092318,0
-18.8626,-0.133540,0
-18.8586,-0.115113,0
-18.8546,-0.028464,0
-18.8506,0.115664,0
-18.8466,0.278443,0
-18.8426,0.397299,0
-18.8366,0.409087,0
-18.8266,0.284592,0
-18.8266,0.054603,0
-18.8254,-0.193168,0
-18.8224,-0.352477,0
-18.8184,-0.355330,0
-18.8144,-0.213856,0
-18.8106,-0.018064,0
-18.8069,0.114354,0
-18.8029,0.108199,0
-18.7989,-0.023321,0
-18.7949,-0.188151,0
-18.7902,-0.275829,0
-18.7862,-0.229196,0
-18.7822,-0.079025,0
-18.7782,0.081532,0
-18.7742,0.163211,0
-18.7702,0.138989,0
-18.7669,0.052098,0
-18.7609,-0.030618,0
-18.7495,-0.082316,0
-18.7495,-0.144896,0
-18.7481,-0.296682,0
-18.7461,-0.580092,0
-18.7421,-0.943802,0
-18.7381,-1.247457,0
-18.7341,-1.333786,0
-18.7307,-1.123927,0
-18.7267,-0.672811,0
-18.7222,-0.146719,0
-18.7182,0.263300,0
-18.7145,0.437409,0
-18.7105,0.375060,0
-18.7070,0.173300,0
-18.7030,-0.040760,0
-18.6990,-0.175635,0
-18.6946,-0.203446,0
-18.6906,-0.147620,0
-18.6865,-0.054457,0
-18.6825,0.026362,0
-18.6735,0.047739,0
-18.6735,-0.027182,0
-18.6703,-0.201270,0
-18.6668,-0.410967,0
-18.6626,-0.514982,0
-18.6588,-0.333463,0
-18.6545,0.262948,0
-18.6505,1.255471,0
-18.6465,2.432995,0
-18.6425,3.443799,0
-18.6385,3.933140,0
-18.6345,3.702852,0
-18.6305,2.809198,0
-18.6265,1.544134,0
-18.6225,0.306983,0
-18.6185,-0.568036,0
-18.6145,-0.941658,0
-18.6099,-0.896514,0
-18.6044,-0.657800,0
-18.5944,-0.458579,0
-18.5944,-0.423463,0
-18.5944,-0.526900,0
-18.5904,-0.637645,0
-18.5859,-0.615271,0
-18.5819,-0.401156,0
-18.5779,-0.055127,0
-18.5739,0.277749,0
-18.5699,0.446969,0
-18.5659,0.376191,0
-18.5619,0.099039,0
-18.5586,-0.265528,0
-18.5541,-0.580176,0
-18.5501,-0.757855,0
-18.5466,-0.793839,0
-18.5426,-0.747680,0
-18.5386,-0.692917,0
-18.5346,-0.670094,0
-18.5296,-0.672230,0
-18.5186,-0.666750,0
-18.5175,-0.632302,0
-18.5175,-0.580716,0
-18.5144,-0.548499,0
-18.5104,-0.567185,0
-18.5059,-0.638232,0
-18.5019,-0.733568,0
-18.4978,-0.821247,0
-18.4938,-0.894464,0
-18.4905,-0.978518,0
-18.4865,-1.107800,0
-18.4825,-1.289848,0
-18.4785,-1.486037,0
-18.4745,-1.627550,0
-18.4705,-1.658459,0
-18.4665,-1.575526,0
-18.4625,-1.434481,0
-18.4585,-1.315911,0
-18.4541,-1.273397,0
-18.4500,-1.299838,0
-18.4412,-1.334845,0
-18.4412,-1.306642,0
-18.4378,-1.178102,0
-18.4342,-0.965872,0
-18.4302,-0.723093,0
-18.4262,-0.502511,0
-18.4222,-0.327800,0
-18.4182,-0.190006,0
-18.4142,-0.064319,0
-18.4102,0.071427,0
-18.4057,0.230828,0
-18.4027,0.423692,0
-18.3977,0.658025,0
-18.3937,0.930127,0
-18.3896,1.209741,0
-18.3866,1.438779,0
-18.3816,1.555709,0
-18.3786,1.535958,0
-18.3736,1.419746,0
-18.3696,1.301231,0
-18.3591,1.278558,0
-18.3571,1.395070,0
-18.3571,1.612309,0
-18.3541,1.834890,0
-18.3497,1.969946,0
-18.3457,1.978543,0
-18.3423,1.883894,0
-18.3379,1.736051,0
-18.3339,1.566841,0
-18.3299,1.374270,0
-18.3259,1.147540,0
-18.3217,0.906103,0
-18.3187,0.711381,0
-18.3143,0.632216,0
-18.3103,0.687146,0
-18.3058,0.812440,0
-18.3018,0.890061,0
-18.2968,0.823299,0
-18.2854,0.606398,0
-18.2854,0.333346,0
-18.2844,0.134288,0
-18.2824,0.083570,0
-18.2777,0.147261,0
-18.2736,0.209923,0
-18.2700,0.160982,0
-18.2660,-0.023806,0
-18.2620,-0.265663,0
-18.2582,-0.440699,0
-18.2542,-0.466321,0
-18.2502,-0.351730,0
-18.2462,-0.179782,0
-18.2422,-0.041919,0
-18.2382,0.019227,0
-18.2342,0.018034,0
-18.2302,-0.011528,0
-18.2262,-0.057816,0
-18.2216,-0.137914,0
-18.2176,-0.265110,0
-18.2077,-0.412445,0
-18.2072,-0.512927,0
-18.2042,-0.504302,0
-18.2017,-0.383676,0
-18.1977,-0.222960,0
-18.1937,-0.124639,0
-18.1897,-0.146719,0
-18.1857,-0.254770,0
-18.1817,-0.341968,0
-18.1777,-0.306482,0
-18.1737,-0.129961,0
-18.1697,0.102142,0
-18.1657,0.254913,0
-18.1617,0.233913,0
-18.1580,0.046170,0
-18.1533,-0.209136,0
-18.1493,-0.408997,0
-18.1440,-0.481649,0
-18.1390,-0.436724,0
-18.1380,-0.337217,0
-18.1341,-0.243916,0
-18.1301,-0.178346,0
-18.1261,-0.128406,0
-18.1221,-0.082652,0
-18.1181,-0.056749,0
-18.1138,-0.085757,0
-18.1098,-0.188008,0
-18.1061,-0.332739,0
-18.1021,-0.442796,0
-18.0981,-0.436850,0
-18.0938,-0.284328,0
-18.0895,-0.034604,0
-18.0855,0.201743,0
-18.0815,0.310173,0
-18.0775,0.233935,0
-18.0735,0.004349,0
-18.0635,-0.276350,0
-18.0635,-0.488045,0
-18.0615,-0.551637,0
-18.0575,-0.463313,0
-18.0535,-0.288777,0
-18.0493,-0.123262,0
-18.0453,-0.039724,0
-18.0413,-0.052553,0
-18.0373,-0.115445,0
-18.0343,-0.153985,0
-18.0300,-0.114288,0
-18.0260,0.000709,0
-18.0220,0.129637,0
-18.0177,0.188059,0
-18.0137,0.120295,0
-18.0097,-0.064047,0
-18.0052,-0.291971,0
-18.0012,-0.466792,0
-17.9912,-0.521105,0
-17.9912,-0.450445,0
-17.9892,-0.308181,0
-17.9862,-0.167508,0
-17.9819,-0.076759,0
-17.9779,-0.036407,0
-17.9739,-0.009716,0
-17.9700,0.043963,0
-17.9658,0.137997,0
-17.9617,0.250412,0
-17.9577,0.342479,0
-17.9537,0.388787,0
-17.9497,0.396139,0
-17.9457,0.396786,0
-17.9417,0.419681,0
-17.9377,0.459633,0
-17.9337,0.467830,0
-17.9287,0.374961,0
-17.9192,0.136850,0
-17.9182,-0.224764,0
-17.9172,-0.614788,0
-17.9132,-0.901186,0
-17.9092,-0.978289,0
-17.9057,-0.820688,0
-17.9017,-0.494652,0
-17.8977,-0.119795,0
-17.8937,0.193953,0
-17.8897,0.393298,0
-17.8857,0.484698,0
-17.8817,0.499358,0
-17.8774,0.454230,0
-17.8734,0.343749,0
-17.8694,0.167886,0
-17.8654,-0.033495,0
-17.8604,-0.180871,0
-17.8486,-0.203972,0
-17.8481,-0.107343,0
-17.8481,0.006198,0
-17.8451,-0.007748,0
-17.8412,-0.220182,0
-17.8373,-0.533260,0
-17.8329,-0.686829,0
-17.8292,-0.389526,0
-17.8249,0.491362,0
-17.8209,1.800823,0
-17.8169,3.122706,0
-17.8129,3.963681,0
-17.8094,3.995181,0
-17.8052,3.213903,0
-17.8008,1.930566,0
-17.7968,0.601759,0
-17.7938,-0.389875,0
-17.7898,-0.883433,0
-17.7848,-0.950569,0
-17.7748,-0.793555,0
-17.7748,-0.612941,0
-17.7738,-0.522644,0
-17.7688,-0.539112,0
-17.7648,-0.618577,0
-17.7608,-0.698878,0
-17.7578,-0.722141,0
-17.7528,-0.644602,0
-17.7488,-0.450536,0
-17.7448,-0.172392,0
-17.7408,0.101758,0
-17.7368,0.254603,0
-17.7328,0.197943,0
-17.7288,-0.068988,0
-17.7248,-0.443173,0
-17.7208,-0.762949,0
-17.7178,-0.893202,0
-17.7131,-0.799700,0
-17.7097,-0.566027,0
-17.7052,-0.342486,0
-17.7012,-0.259089,0
-17.6972,-0.355490,0
-17.6932,-0.567423,0
-17.6892,-0.772837,0
-17.6852,-0.866229,0
-17.6812,-0.817012,0
-17.6772,-0.681441,0
-17.6732,-0.566294,0
-17.6632,-0.568254,0
-17.6632,-0.723112,0
-17.6612,-0.990347,0
-17.6572,-1.278119,0
-17.6539,-1.492197,0
-17.6486,-1.580825,0
-17.6456,-1.551741,0
-17.6416,-1.455142,0
-17.6369,-1.347161,0
-17.6329,-1.259240,0
-17.6289,-1.192186,0
-17.6247,-1.133983,0
-17.6207,-1.082078,0
-17.6165,-1.048437,0
-17.6135,-1.041875,0
-17.6085,-1.044328,0
-17.6050,-1.006744,0
-17.6010,-0.876489,0
-17.5970,-0.640651,0
-17.5870,-0.350931,0
-17.5870,-0.103826,0
-17.5850,0.018309,0
-17.5810,0.007204,0
-17.5770,-0.054886,0
-17.5730,-0.039248,0
-17.5686,0.150686,0
-17.5648,0.518269,0
-17.5614,0.971070,0
-17.5574,1.377075,0
-17.5533,1.639926,0
-17.5489,1.743612,0
-17.5449,1.742775,0
-17.5409,1.714516,0
-17.5367,1.710498,0
-17.5326,1.739371,0
-17.5287,1.780525,0
-17.5247,1.807007,0
-17.5206,1.796293,0
-17.5166,1.727308,0
-17.5074,1.579302,0
-17.5074,1.345354,0
-17.5049,1.053379,0
-17.5009,0.771384,0
-17.4965,0.580018,0
-17.4925,0.522556,0
-17.4892,0.567550,0
-17.4849,0.617939,0
-17.4809,0.568851,0
-17.4768,0.377522,0
-17.4728,0.094858,0
-17.4687,-0.166775,0
-17.4652,-0.308001,0
-17.4612,-0.305327,0
-17.4572,-0.217217,0
-17.4530,-0.131888,0
-17.4486,-0.100049,0
-17.4436,-0.105843,0
-17.4316,-0.096617,0
-17.4306,-0.043342,0
-17.4306,0.021778,0
-17.4286,0.024902,0
-17.4246,-0.086424,0
-17.4206,-0.288612,0
-17.4166,-0.483884,0
-17.4126,-0.563211,0
-17.4086,-0.485506,0
-17.4051,-0.312410,0
-17.4011,-0.169264,0
-17.3971,-0.157846,0
-17.3931,-0.283423,0
-17.3891,-0.449277,0
-17.3851,-0.523278,0
-17.3811,-0.429437,0
-17.3771,-0.200381,0
-17.3731,0.044424,0
-17.3691,0.177646,0
-17.3641,0.145311,0
-17.3536,-0.002773,0
-17.3536,-0.149308,0
-17.3526,-0.184233,0
-17.3486,-0.068474,0
-17.3446,0.149885,0
-17.3406,0.369826,0
-17.3366,0.495048,0
-17.3326,0.479835,0
-17.3281,0.341927,0
-17.3248,0.143554,0
-17.3208,-0.042522,0
-17.3168,-0.163066,0
-17.3128,-0.199361,0
-17.3088,-0.165692,0
-17.3051,-0.096147,0
-17.3007,-0.026976,0
-17.2967,0.018113,0
-17.2927,0.033853,0
-17.2882,0.028655,0
-17.2761,0.013297,0
-17.2761,-0.008354,0
-17.2750,-0.039253,0
-17.2730,-0.080062,0
-17.2690,-0.120108,0
-17.2650,-0.139419,0
-17.2610,-0.124308,0
-17.2570,-0.085548,0
-17.2530,-0.061393,0
-17.2490,-0.095993,0
-17.2447,-0.203465,0
-17.2407,-0.344190,0
-17.2367,-0.437222,0
-17.2327,-0.408747,0
-17.2287,-0.246866,0
-17.2241,-0.021320,0
-17.2206,0.153668,0
-17.2166,0.194583,0
-17.2128,0.110399,0
-17.2078,0.002153,0
-17.1959,-0.007447,0
-17.1945,0.130338,0
-17.1945,0.338806,0
-17.1925,0.452625,0
-17.1887,0.325858,0
-17.1844,-0.060038,0
-17.1804,-0.565393,0
-17.1764,-0.965732,0
-17.1724,-1.084184,0
-17.1684,-0.895172,0
-17.1644,-0.530871,0
-17.1604,-0.189628,0
-17.1564,-0.012584,0
-17.1524,-0.012516,0
-17.1484,-0.095948,0
-17.1441,-0.150110,0
-17.1407,-0.123452,0
-17.1367,-0.042830,0
-17.1323,0.032853,0
-17.1213,0.071696,0
-17.1213,0.085535,0
-17.1203,0.093632,0
-17.1163,0.075620,0
-17.1123,-0.029566,0
-17.1083,-0.261566,0
-17.1048,-0.558277,0
-17.1008,-0.733390,0
-17.0968,-0.555980,0
-17.0925,0.100245,0
-17.0884,1.134380,0
-17.0842,2.217230,0
-17.0802,2.933406,0
-17.0762,2.992008,0
-17.0722,2.380107,0
-17.0682,1.365113,0
-17.0642,0.346480,0
-17.0602,-0.350412,0
-17.0562,-0.616273,0
-17.0447,-0.563486,0
-17.0437,-0.412689,0
-17.0437,-0.345699,0
-17.0402,-0.415489,0
-17.0358,-0.552632,0
-17.0318,-0.641781,0
-17.0278,-0.606132,0
-17.0243,-0.448428,0
-17.0198,-0.236547,0
-17.0158,-0.057361,0
-17.0125,0.026967,0
-17.0081,-0.000565,0
-17.0043,-0.115307,0
-16.9998,-0.267706,0
-16.9958,-0.403052,0
-16.9918,-0.479127,0
-16.9878,-0.479087,0
-16.9844,-0.416156,0
-16.9783,-0.327188,0
-16.9673,-0.256728,0
-16.9673,-0.238856,0
-16.9663,-0.285469,0
-16.9643,-0.384891,0
-16.9603,-0.508193,0
-16.9563,-0.618329,0
-16.9523,-0.680233,0
-16.9483,-0.673248,0
-16.9443,-0.604787,0
-16.9403,-0.516905,0
-16.9363,-0.474165,0
-16.9323,-0.529764,0
-16.9283,-0.685070,0
-16.9243,-0.871308,0
-16.9203,-0.975704,0
-16.9163,-0.906497,0
-16.9123,-0.659525,0
-16.9083,-0.339131,0
-16.9038,-0.110692,0
-16.8988,-0.107719,0
-16.8888,-0.350972,0
-16.8873,-0.733066,0
-16.8873,-1.079684,0
-16.8843,-1.247183,0
-16.8803,-1.193315,0
-16.8763,-0.979601,0
-16.8723,-0.713316,0
-16.8679,-0.476601,0
-16.8639,-0.291674,0
-16.8599,-0.136851,0
-16.8559,0.012196,0
-16.8519,0.155856,0
-16.8479,0.278670,0
-16.8439,0.378092,0
-16.8399,0.481962,0
-16.8359,0.635084,0
-16.8329,0.864929,0
-16.8274,1.156240,0
-16.8224,1.456831,0
-16.8124,1.709740,0
-16.8114,1.884779,0
-16.8114,1.984952,0
-16.8084,2.027017,0
-16.8039,2.018393,0
-16.8005,1.953734,0
-16.7961,1.833199,0
-16.7921,1.681250,0
-16.7876,1.542160,0
-16.7838,1.449975,0
-16.7803,1.397151,0
-16.7758,1.332325,0
-16.7718,1.195517,0
-16.7678,0.966430,0
-16.7638,0.686974,0
-16.7598,0.437285,0
-16.7558,0.281658,0
-16.7518,0.225914,0
-16.7478,0.218971,0
-16.7428,0.195297,0
-16.7318,0.121989,0
-16.7318,0.012412,0
-16.7318,-0.100927,0
-16.7278,-0.205302,0
-16.7238,-0.319874,0
-16.7198,-0.468280,0
-16.7158,-0.637781,0
-16.7122,-0.767383,0
-16.7082,-0.784707,0
-16.7037,-0.667401,0
-16.6997,-0.477687,0
-16.6957,-0.334267,0
-16.6917,-0.334493,0
-16.6877,-0.482503,0
-16.6835,-0.679479,0
-16.6795,-0.787282,0
-16.6754,-0.720912,0
-16.6714,-0.502775,0
-16.6674,-0.240810,0
-16.6631,-0.050099,0
-16.6535,0.021727,0
-16.6535,0.012211,0
-16.6515,-0.001014,0
-16.6473,0.033840,0
-16.6435,0.108765,0
-16.6396,0.175189,0
-16.6353,0.192350,0
-16.6317,0.160058,0
-16.6274,0.109872,0
-16.6234,0.067894,0
-16.6194,0.026826,0
-16.6154,-0.045631,0
-16.6111,-0.169664,0
-16.6081,-0.322217,0
-16.6036,-0.442196,0
-16.5994,-0.470845,0
-16.5952,-0.395357,0
-16.5918,-0.260411,0
-16.5868,-0.138858,0
-16.5759,-0.085739,0
-16.5749,-0.111332,0
-16.5749,-0.190299,0
-16.5719,-0.292890,0
-16.5679,-0.407894,0
-16.5639,-0.538572,0
-16.5599,-0.680077,0
-16.5559,-0.804374,0
-16.5519,-0.870828,0
-16.5479,-0.855339,0
-16.5439,-0.771888,0
-16.5399,-0.665442,0
-16.5359,-0.580004,0
-16.5319,-0.527932,0
-16.5279,-0.486084,0
-16.5234,-0.421296,0
-16.5198,-0.322433,0
-16.5151,-0.211243,0
-16.5066,-0.123641,0
-16.5014,-0.079335,0
-16.4993,-0.067248,0
-16.4981,-0.058951,0
-16.4951,-0.036403,0
-16.4918,-0.007735,0
-16.4878,0.003090,0
-16.4838,-0.018468,0
-16.4798,-0.063260,0
-16.4758,-0.110563,0
-16.4718,-0.155293,0
-16.4678,-0.221289,0
-16.4638,-0.341106,0
-16.4598,-0.513525,0
-16.4558,-0.675364,0
-16.4514,-0.719739,0
-16.4471,-0.558666,0
-16.4436,-0.190153,0
-16.4396,0.279744,0
-16.4326,0.681036,0
-16.4212,0.865408,0
-16.4192,0.780317,0
-16.4182,0.488420,0
-16.4182,0.127538,0
-16.4152,-0.157514,0
-16.4112,-0.271558,0
-16.4082,-0.193830,0
-16.4037,0.024541,0
-16.3992,0.277774,0
-16.3958,0.434989,0
-16.3909,0.388826,0
-16.3869,0.119535,0
-16.3829,-0.255498,0
-16.3790,-0.492696,0
-16.3748,-0.318921,0
-16.3718,0.416044,0
-16.3673,1.614083,0
-16.3629,2.919106,0
-16.3589,3.853701,0
-16.3525,4.041901,0
-16.3474,3.395986,0
-16.3464,2.158718,0
-16.3430,0.776937,0
-16.3390,-0.317100,0
-16.3350,-0.890638,0
-16.3310,-0.967253,0
-16.3270,-0.747695,0
-16.3230,-0.466450,0
-16.3190,-0.277671,0
-16.3150,-0.223431,0
-16.3110,-0.272524,0
-16.3080,-0.378000,0
-16.3035,-0.508243,0
-16.2995,-0.643068,0
-16.2955,-0.757734,0
-16.2915,-0.820504,0
-16.2875,-0.808411,0
-16.2835,-0.725022,0
-16.2795,-0.602183,0
-16.2745,-0.483475,0
-16.2631,-0.403008,0
-16.2621,-0.374477,0
-16.2621,-0.393258,0
-16.2597,-0.442973,0
-16.2547,-0.498776,0
-16.2517,-0.529865,0
-16.2474,-0.509792,0
-16.2436,-0.435726,0
-16.2392,-0.343128,0
-16.2348,-0.296931,0
-16.2308,-0.354761,0
-16.2273,-0.523148,0
-16.2233,-0.741245,0
-16.2199,-0.911807,0
-16.2149,-0.963235,0
-16.2108,-0.898008,0
-16.2078,-0.788133,0
-16.2035,-0.717685,0
-16.1986,-0.716007,0
-16.1951,-0.736002,0
-16.1889,-0.697720,0
-16.1769,-0.563638,0
-16.1759,-0.382800,0
-16.1759,-0.263083,0
-16.1749,-0.288988,0
-16.1709,-0.449829,0
-16.1667,-0.639059,0
-16.1627,-0.730201,0
-16.1587,-0.671621,0
-16.1547,-0.523734,0
-16.1507,-0.405847,0
-16.1467,-0.392780,0
-16.1427,-0.444689,0
-16.1387,-0.430262,0
-16.1347,-0.229919,0
-16.1307,0.160368,0
-16.1267,0.608727,0
-16.1227,0.932150,0
-16.1187,1.026284,0
-16.1145,0.942993,0
-16.1095,0.855784,0
-16.0982,0.936652,0
-16.0969,1.233711,0
-16.0969,1.637452,0
-16.0945,1.957369,0
-16.0914,2.051097,0
-16.0864,1.914296,0
-16.0834,1.673088,0
-16.0784,1.492649,0
-16.0754,1.470827,0
-16.0704,1.587071,0
-16.0664,1.730407,0
-16.0624,1.775245,0
-16.0584,1.649994,0
-16.0544,1.361060,0
-16.0504,0.972276,0
-16.0474,0.565965,0
-16.0424,0.211744,0
-16.0394,-0.048117,0
-16.0324,-0.202397,0
-16.0205,-0.270006,0
-16.0185,-0.293223,0
-16.0175,-0.321337,0
-16.0165,-0.388417,0
-16.0145,-0.498203,0
-16.0104,-0.627934,0
-16.0075,-0.748907,0
-16.0029,-0.846774,0
-15.9989,-0.924055,0
-15.9949,-0.983959,0
-15.9909,-1.013926,0
-15.9866,-0.989971,0
-15.9824,-0.903651,0
-15.9784,-0.788083,0
-15.9744,-0.712783,0
-15.9704,-0.739689,0
-15.9664,-0.868589,0
-15.9624,-1.017848,0
-15.9584,-1.065886,0
-15.9544,-0.932061,0
-15.9434,-0.639365,0
-15.9434,-0.308254,0
-15.9424,-0.080223,0
-15.9383,-0.024534,0
-15.9343,-0.097215,0
-15.9303,-0.182857,0
